Date,Sales
1/31/2000,102.4835708
2/29/2000,103.4188839
3/31/2000,111.1518599
4/30/2000,118.7481417
5/31/2000,112.3792227
6/30/2000,113.8541293
7/31/2000,123.4070833
8/31/2000,118.8970717
9/30/2000,111.4680406
10/31/2000,114.7127608
11/30/2000,107.5753004
12/31/2000,105.4717753
1/31/2001,107.2400618
2/28/2001,95.28983666
3/31/2001,95.8692279
4/30/2001,102.2667429
5/31/2001,101.5867615
6/30/2001,110.7271365
7/31/2001,107.9047151
8/31/2001,109.2304066
9/30/2001,127.7444319
10/31/2001,123.3803592
11/30/2001,128.6034262
12/31/2001,124.2900516
1/31/2002,131.019483
2/28/2002,135.6724538
3/31/2002,129.7514368
4/30/2002,136.8465248
5/31/2002,130.6521252
6/30/2002,130.3389313
7/31/2002,126.6687908
8/31/2002,136.8654443
9/30/2002,125.8144382
10/31/2002,119.4920021
11/30/2002,128.620924
12/31/2002,119.0869224
1/31/2003,127.9055412
2/28/2003,119.6543457
3/31/2003,126.1677855
4/30/2003,137.6811565
5/31/2003,144.5243942
6/30/2003,145.7617244
7/31/2003,148.0337761
8/31/2003,150.1808023
9/30/2003,146.5306035
10/31/2003,151.6016861
11/30/2003,153.1892504
12/31/2003,160.1539751
1/31/2004,155.2078191
2/29/2004,142.7769954
3/31/2004,151.0831507
4/30/2004,145.4858117
5/31/2004,142.3552471
6/30/2004,147.7716158
7/31/2004,149.6872113
8/31/2004,149.9704543
9/30/2004,142.8847318
10/31/2004,148.2111396
11/30/2004,154.8342783
12/31/2004,161.9819923
1/31/2005,158.8514344
2/28/2005,164.3685434
3/31/2005,163.4201944
4/30/2005,165.9693725
5/31/2005,178.1579882
6/30/2005,182.0552305
7/31/2005,175.1092014
8/31/2005,179.7787497
9/30/2005,175.127085
10/31/2005,168.1590551
11/30/2005,171.0559018
12/31/2005,174.9124084
1/31/2006,165.4251604
2/28/2006,172.477656
3/31/2006,151.4672107
4/30/2006,169.5564099
5/31/2006,167.7448224
6/30/2006,168.5741753
7/31/2006,174.0111077
8/31/2006,167.5760237
9/30/2006,180.5632477
10/31/2006,187.4703787
11/30/2006,196.674572
12/31/2006,189.6145331
1/31/2007,190.2152939
2/28/2007,192.8284525
3/31/2007,200.0139617
4/30/2007,196.2901613
5/31/2007,190.4943196
6/30/2007,193.7414172
7/31/2007,189.5216039
8/31/2007,191.8805745
9/30/2007,181.9651946
10/31/2007,182.9660152
11/30/2007,182.6488927
12/31/2007,178.2720648
1/31/2008,189.0279995
2/29/2008,191.6937933
3/31/2008,193.957038
4/30/2008,196.7524113
5/31/2008,194.9977993
6/30/2008,203.9653027
7/31/2008,207.8979105
8/31/2008,208.4412156
9/30/2008,213.6039319
10/31/2008,217.4108209
11/30/2008,224.8266036
12/31/2008,215.397429
1/31/2009,214.2504024
2/28/2009,210.5915543
3/31/2009,199.2310639
4/30/2009,206.72431
5/31/2009,205.6547453
6/30/2009,216.8792594
7/31/2009,203.7009574
8/31/2009,207.2499748
9/30/2009,207.6205569
10/31/2009,204.8715081
11/30/2009,220.0292982
12/31/2009,222.0980581
1/31/2010,226.4412915
2/28/2010,221.9007589
3/31/2010,236.9447595
4/30/2010,225.6811576
5/31/2010,237.487388
6/30/2010,246.3863419
7/31/2010,230.3928806
8/31/2010,231.5642208
9/30/2010,233.2760312
10/31/2010,228.2336979
11/30/2010,220.862029
12/31/2010,227.02391
1/31/2011,219.9273962
2/28/2011,226.8987102
3/31/2011,220.1288485
4/30/2011,233.654313
5/31/2011,224.1333279
6/30/2011,229.4378232
7/31/2011,238.7707478
8/31/2011,232.5983728
9/30/2011,244.033033
10/31/2011,253.3577526
11/30/2011,242.2053823
12/31/2011,253.8423498
1/31/2012,255.9853603
2/29/2012,259.3769007
3/31/2012,249.1020121
4/30/2012,247.6578599
5/31/2012,255.1984848
6/30/2012,252.0221925
7/31/2012,249.6602681
8/31/2012,248.2425134
9/30/2012,241.7315125
10/31/2012,245.6688242
11/30/2012,246.2644552
12/31/2012,242.5050294
1/31/2013,257.6425518
2/28/2013,253.7571471
3/31/2013,249.1385995
4/30/2013,262.4507067
5/31/2013,258.4297414
6/30/2013,271.1267073
7/31/2013,276.3402816
8/31/2013,269.0353652
9/30/2013,279.62574
10/31/2013,277.5557052
11/30/2013,279.329744
12/31/2013,283.6020406
1/31/2014,271.1690061
2/28/2014,266.5539953
3/31/2014,263.7550278
4/30/2014,262.2656299
5/31/2014,264.6464567
6/30/2014,266.1993552
7/31/2014,266.2656132
8/31/2014,270.3945196
9/30/2014,268.651217
10/31/2014,279.0018852
11/30/2014,274.1674752
12/31/2014,293.1846578
1/31/2015,286.8364116
2/28/2015,283.2693768
3/31/2015,285.4896377
4/30/2015,295.761445
5/31/2015,293.8045055
6/30/2015,299.0761854
7/31/2015,297.5099502
8/31/2015,293.605605
9/30/2015,287.9656073
10/31/2015,282.533375
11/30/2015,285.7674646
12/31/2015,290.4665814
1/31/2016,286.0105707
2/29/2016,278.2602869
3/31/2016,285.8410905
4/30/2016,288.3765973
5/31/2016,284.4477204
6/30/2016,292.8552084
7/31/2016,296.1808381
8/31/2016,294.2851485
